num_nodes,instance_type,alpha,total_runtime,optimal_tsp_solution,optimal_tsp_split,lkh_cost,lkh_split,best_solution_cost,opt_to_best_dist,opt_to_best_percent,optsplit_to_best_dist,optsplit_to_best_percent
50,uniform,1,0.019,596.0259,504.5757,600.3199,506.5217,502.198,-93.8279,84.2577%,-2.3777,99.5288%
75,uniform,1,0.0439,695.1339,585.5562,702.5989,588.0075,582.1246,-113.0093,83.7428%,-3.4316,99.4140%
100,uniform,1,0.0789,783.0945,665.8503,789.6134,673.315,665.0992,-117.9953,84.9322%,-0.7511,99.8872%
50,uniform,2,0.0186,596.0259,461.385,600.3199,462.5775,453.6294,-142.3965,76.1090%,-7.7556,98.3191%
75,uniform,2,0.0429,695.1339,528.9538,702.5989,533.1512,522.4909,-172.643,75.1641%,-6.4629,98.7782%
100,uniform,2,0.0741,783.0945,608.3015,789.6134,617.5095,604.0867,-179.0078,77.1410%,-4.2148,99.3071%
50,uniform,3,0.0196,596.0259,460.0485,600.3199,461.6816,444.6362,-151.3897,74.6001%,-15.4123,96.6499%
75,uniform,3,0.0443,695.1339,528.1277,702.5989,531.755,516.2622,-178.8717,74.2680%,-11.8655,97.7533%
100,uniform,3,0.0768,783.0945,607.4371,789.6134,616.8533,599.4457,-183.6488,76.5483%,-7.9914,98.6844%
50,singlecenter,1,0.0205,837.6718,662.8059,849.3808,666.6996,655.4109,-182.2609,78.2420%,-7.395,98.8843%
75,singlecenter,1,0.1522,1119.844,894.344,1129.583,896.9435,886.6844,-233.1596,79.1793%,-7.6596,99.1436%
100,singlecenter,1,0.1431,1335.585,1069.2397,1348.009,1080.5452,1066.6389,-268.9461,79.8630%,-2.6008,99.7568%
50,singlecenter,2,0.0176,837.6718,582.4125,849.3808,589.0548,565.1585,-272.5133,67.4678%,-17.254,97.0375%
75,singlecenter,2,0.1497,1119.844,803.4905,1129.583,801.2084,774.1806,-345.6634,69.1329%,-29.3099,96.3522%
100,singlecenter,2,0.1316,1335.585,947.7563,1348.009,954.8475,932.015,-403.57,69.7833%,-15.7413,98.3391%
50,singlecenter,3,0.018,837.6718,579.0647,849.3808,582.6604,545.4244,-292.2474,65.1119%,-33.6403,94.1906%
75,singlecenter,3,0.1546,1119.844,799.6519,1129.583,796.5273,761.5648,-358.2792,68.0063%,-38.0871,95.2370%
100,singlecenter,3,0.1335,1335.585,941.8949,1348.009,949.3456,912.9072,-422.6778,68.3526%,-28.9877,96.9224%
50,doublecenter,1,0.0248,1277.108,1018.8673,1284.832,1024.9536,1015.753,-261.355,79.5354%,-3.1143,99.6943%
75,doublecenter,1,0.0701,1586.182,1255.463,1598.894,1283.091,1254.154,-332.028,79.0675%,-1.309,99.8957%
100,doublecenter,1,0.0868,1767.592,1411.281,1787.971,1439.782,1409.161,-358.431,79.7221%,-2.12,99.8498%
50,doublecenter,2,0.0259,1277.108,901.5735,1284.832,906.9198,882.9514,-394.1566,69.1368%,-18.6221,97.9345%
75,doublecenter,2,0.0681,1586.182,1126.8662,1598.894,1149.06,1108.5422,-477.6398,69.8875%,-18.324,98.3739%
100,doublecenter,2,0.0868,1767.592,1273.076,1787.971,1297.233,1262.491,-505.101,71.4243%,-10.585,99.1685%
50,doublecenter,3,0.0235,1277.108,894.9392,1284.832,901.8822,856.5345,-420.5735,67.0683%,-38.4047,95.7087%
75,doublecenter,3,0.0674,1586.182,1117.8985,1598.894,1138.8015,1081.7903,-504.3917,68.2009%,-36.1082,96.7700%
100,doublecenter,3,0.0842,1767.592,1261.018,1787.971,1286.222,1231.295,-536.297,69.6595%,-29.723,97.6429%
