instance_name,num_nodes,instance_type,optimal_solution,best_fitness,opt_to_fit_dist,opt_to_fit_percent,current_iteration,last_update_iteration,current_time,last_update_time,stalled_iterations,largest_iteration_offset
uniform-78-n50,50,uniform,597.7326,440.863,-156.8696,73.7559%,4402.6,2514.8,60.00734,34.506223999999996,1887.8,2046.0
uniform-79-n50,50,uniform,559.0949,395.34839999999997,-163.7465,70.7122%,4354.6,1715.8,60.010659999999994,23.559332,2638.8,1108.2
uniform-74-n50,50,uniform,589.1712,469.6478,-119.5234,79.7133%,4448.0,2061.8,60.006820000000005,27.93386,2386.2,1477.4
uniform-71-n50,50,uniform,585.7107,429.2258,-156.4849,73.2829%,4389.0,1626.2,60.004920000000006,22.37896,2762.8,857.8
uniform-73-n50,50,uniform,608.8319,427.0538,-181.7781,70.1431%,4442.0,2033.2,60.00846,27.57196,2408.8,1391.2
uniform-76-n50,50,uniform,587.3112,427.2004,-160.1108,72.7383%,4413.4,2788.6,60.00944,37.827819999999996,1624.8,1959.2
uniform-80-n50,50,uniform,559.3202,389.307,-170.0132,69.6036%,4429.2,2229.0,60.0039,30.239042,2200.2,1486.6
uniform-75-n50,50,uniform,632.8203,457.4121999999999,-175.4081,72.2815%,4436.4,1204.4,60.00742,16.252922,3232.0,491.4
uniform-77-n50,50,uniform,627.2864,442.25640000000004,-185.0300,70.5031%,4436.2,1484.4,60.004819999999995,20.16729,2951.8,875.4
uniform-72-n50,50,uniform,616.9627,450.9698,-165.9929,73.0952%,4446.2,3054.2,60.0053,41.18856,1392.0,2441.8
uniform-98-n100,100,uniform,778.4010,708.7218,-69.6792,91.0484%,2115.4,1747.8,60.01362,49.58476,367.6,291.8
uniform-97-n100,100,uniform,798.4996,710.6967999999999,-87.8028,89.0040%,2049.0,1729.8,60.015,50.690419999999996,319.2,323.4
uniform-100-n100,100,uniform,793.6156,675.4486,-118.1670,85.1103%,2121.4,1722.2,60.012440000000005,48.65298,399.2,271.8
uniform-92-n100,100,uniform,748.4112,633.9434,-114.4678,84.7052%,2095.6,1906.0,60.009299999999996,54.53892,189.6,352.0
uniform-94-n100,100,uniform,769.8060,643.2598,-126.5462,83.5613%,2102.4,1957.8,60.017100000000006,55.8614,144.6,222.2
uniform-96-n100,100,uniform,791.8532,720.7598,-71.0934,91.0219%,2123.0,1921.0,60.017520000000005,54.24262,202.0,385.2
uniform-95-n100,100,uniform,789.6085,727.345,-62.2635,92.1146%,2127.8,1947.4,60.0138,54.91600000000001,180.4,317.8
uniform-99-n100,100,uniform,796.6310,689.1512,-107.4798,86.5082%,2118.6,1975.8,60.01352000000001,55.95146,142.8,386.8
uniform-93-n100,100,uniform,766.2274,639.3636,-126.8638,83.4431%,2097.4,1763.6,60.01188,50.344199999999994,333.8,258.6
uniform-91-n100,100,uniform,805.1977,672.729,-132.4687,83.5483%,1850.6,1720.6,60.01576,56.055780000000006,130.0,279.0
singlecenter-75-n50,50,singlecenter,1015.5078,589.5494000000001,-425.9584,58.0546%,4171.0,1677.0,60.00591999999999,24.0893,2494.0,719.4
singlecenter-74-n50,50,singlecenter,907.3788,590.3992000000001,-316.9796,65.0665%,4300.4,1547.8,60.00861999999999,21.404126,2752.6,643.6
singlecenter-79-n50,50,singlecenter,783.7864,475.4832,-308.3032,60.6649%,4171.4,1605.6,60.00412,22.840706,2565.8,1107.2
singlecenter-72-n50,50,singlecenter,808.8108,573.8838,-234.9270,70.9540%,4289.4,2194.2,60.008579999999995,30.76538,2095.2,1486.0
singlecenter-73-n50,50,singlecenter,613.0666,396.4788,-216.5878,64.6714%,4223.8,1367.8,60.00666,19.420560000000002,2856.0,875.2
singlecenter-76-n50,50,singlecenter,887.7689,597.1518,-290.6171,67.2643%,4238.6,1876.2,60.00616,26.851744000000004,2362.4,869.8
singlecenter-78-n50,50,singlecenter,914.1449,609.8734000000001,-304.2715,66.7152%,4246.6,3293.0,60.0096,46.63088,953.6,1842.2
singlecenter-71-n50,50,singlecenter,700.1293,470.6794,-229.4499,67.2275%,4320.2,2379.6,60.003600000000006,33.09262,1940.6,1340.8
singlecenter-80-n50,50,singlecenter,970.5504,602.8284000000001,-367.7220,62.1120%,4218.6,1707.2,60.00638,24.250301999999998,2511.4,815.2
singlecenter-77-n50,50,singlecenter,780.2030,472.52400000000006,-307.6790,60.5642%,4141.8,2647.6,60.00752,38.43548,1494.2,1562.0
singlecenter-94-n100,100,singlecenter,1534.6651,1160.116,-374.5491,75.5941%,1964.2,1877.0,60.01482,57.37232,87.2,253.8
singlecenter-95-n100,100,singlecenter,1241.4234,979.0908,-262.3326,78.8684%,2030.4,1620.2,60.01678,47.56278000000001,410.2,181.4
singlecenter-100-n100,100,singlecenter,1213.5192,952.9544,-260.5648,78.5282%,2035.8,1820.8,60.013999999999996,53.60365999999999,215.0,303.2
singlecenter-93-n100,100,singlecenter,1355.0541,1060.2559999999999,-294.7981,78.2445%,1969.4,1601.4,60.01472,48.71548,368.0,330.2
singlecenter-99-n100,100,singlecenter,1105.6402,846.5237999999999,-259.1164,76.5641%,1922.4,1827.0,60.01487999999999,56.763760000000005,95.4,166.0
singlecenter-98-n100,100,singlecenter,1435.0127,957.7059999999999,-477.3067,66.7385%,1927.4,1750.4,60.00888,54.38496,177.0,193.0
singlecenter-97-n100,100,singlecenter,1393.7724,1041.7995999999998,-351.9728,74.7468%,1941.6,1847.0,60.0212,57.06988,94.6,178.2
singlecenter-96-n100,100,singlecenter,1376.0372,1040.5996,-335.4376,75.6229%,1993.0,1636.2,60.011300000000006,49.202980000000004,356.8,198.6
singlecenter-92-n100,100,singlecenter,1409.9092,1097.1979999999999,-312.7112,77.8205%,1966.6,1733.2,60.0105,52.82894,233.4,284.8
singlecenter-91-n100,100,singlecenter,1301.8049,1020.5881999999999,-281.2167,78.3979%,1898.6,1760.2,60.01424000000001,55.51104,138.4,247.6
doublecenter-76-n50,50,doublecenter,1394.8919,863.0414000000001,-531.8505,61.8716%,4247.0,1285.0,60.007360000000006,18.099498,2962.0,666.6
doublecenter-78-n50,50,doublecenter,1338.5256,773.5064,-565.0192,57.7879%,4194.6,2077.4,60.007180000000005,29.70102,2117.2,1417.8
doublecenter-71-n50,50,doublecenter,1432.8152,868.9394,-563.8758,60.6456%,4225.4,1017.6,60.010419999999996,14.3994,3207.8,338.6
doublecenter-79-n50,50,doublecenter,1213.9633,845.5451999999999,-368.4181,69.6516%,4196.0,1191.2,60.00753999999999,16.86196,3004.8,515.0
doublecenter-80-n50,50,doublecenter,1356.4220,905.3636,-451.0584,66.7465%,4334.4,2264.4,60.00714000000001,31.28766,2070.0,1402.2
doublecenter-75-n50,50,doublecenter,1275.2774,928.3924,-346.8850,72.7993%,4237.0,3089.8,60.008,43.764148,1147.2,2257.0
doublecenter-73-n50,50,doublecenter,1181.4374,753.55,-427.8874,63.7825%,4240.0,648.2,60.00842,9.121812,3591.8,228.6
doublecenter-77-n50,50,doublecenter,1185.7461,803.0742,-382.6719,67.7273%,4173.8,1891.6,60.00666,27.263912000000005,2282.2,835.2
doublecenter-74-n50,50,doublecenter,1136.5626,757.8006,-378.7620,66.6748%,4215.6,2473.6,60.00758,35.263622,1742.0,1656.0
doublecenter-72-n50,50,doublecenter,1258.3123,832.9412,-425.3711,66.1951%,4240.2,1118.6,60.00544,15.733856,3121.6,529.0
doublecenter-96-n100,100,doublecenter,1840.0284,1459.9940000000001,-380.0344,79.3463%,1968.6,1900.6,60.01848,57.81717999999999,68.0,325.2
doublecenter-95-n100,100,doublecenter,1854.5623,1520.6659999999997,-333.8963,81.9960%,1947.4,1763.4,60.007619999999996,54.25054,184.0,220.8
doublecenter-92-n100,100,doublecenter,1693.2518,1285.29,-407.9618,75.9066%,1922.4,1735.4,60.02048,54.10866,187.0,212.0
doublecenter-100-n100,100,doublecenter,1886.3113,1519.5480000000002,-366.7633,80.5566%,1970.4,1958.6,60.014160000000004,59.651920000000004,11.8,271.6
doublecenter-94-n100,100,doublecenter,1758.2369,1562.508,-195.7289,88.8679%,1997.4,1803.0,60.0126,54.16763999999999,194.4,223.8
doublecenter-91-n100,100,doublecenter,1724.4722,1485.904,-238.5682,86.1657%,1961.8,1647.8,60.01165999999999,50.240880000000004,314.0,372.4
doublecenter-98-n100,100,doublecenter,1702.8583,1501.8400000000001,-201.0183,88.1952%,1965.8,1733.4,60.01472,52.849940000000004,232.4,243.4
doublecenter-97-n100,100,doublecenter,1954.2071,1526.31,-427.8971,78.1038%,1984.4,1824.6,60.01129999999999,55.08046,159.8,176.0
doublecenter-93-n100,100,doublecenter,1574.4013,1330.8319999999999,-243.5693,84.5294%,1964.2,1756.8,60.01648,53.44932,207.4,224.4
doublecenter-99-n100,100,doublecenter,1694.0095,1391.732,-302.2775,82.1561%,1934.8,1772.2,60.01286,54.79848,162.6,306.4
