instance_name,num_nodes,instance_type,best_fitness,current_iteration,last_update_iteration,last_update_time,stalled_iterations,largest_iteration_offset
uniform-78-n50,50,uniform,693.0921999999999,6754.6,4863.0,43.8609,1891.6,2701.0
uniform-79-n50,50,uniform,643.2592000000001,6791.8,2390.4,21.04392,4401.4,1069.4
uniform-74-n50,50,uniform,672.9485999999999,6892.8,2324.0,20.357357999999998,4568.8,1303.2
uniform-71-n50,50,uniform,667.7280000000001,7129.4,4325.0,36.47004,2804.4,2875.2
uniform-73-n50,50,uniform,705.4793999999999,6959.4,1731.4,14.975178,5228.0,865.0
uniform-76-n50,50,uniform,729.7128,6609.2,3829.2,34.884159999999994,2780.0,1965.0
uniform-80-n50,50,uniform,635.0642,6900.4,2730.0,23.837129999999995,4170.4,984.2
uniform-75-n50,50,uniform,691.9272000000001,6737.4,2384.6,21.469193999999998,4352.8,821.4
uniform-77-n50,50,uniform,704.4484,6943.2,1824.6,15.70111,5118.6,1070.4
uniform-72-n50,50,uniform,680.8522,6727.8,3045.6,26.989457999999996,3682.2,1247.4
uniform-98-n100,100,uniform,1090.806,4869.6,4187.8,51.44054,681.8,739.0
uniform-97-n100,100,uniform,1084.4982,5011.4,4665.4,55.919399999999996,346.0,603.2
uniform-100-n100,100,uniform,1078.992,4895.6,4259.0,52.24476,636.6,678.8
uniform-92-n100,100,uniform,1046.2216,4895.4,4748.4,58.204919999999994,147.0,565.8
uniform-94-n100,100,uniform,1059.9599999999998,4863.0,4250.8,52.156000000000006,612.2,987.0
uniform-96-n100,100,uniform,1089.4180000000001,4870.0,4327.8,53.54118,542.2,747.6
uniform-95-n100,100,uniform,1133.3,4821.6,4030.4,50.50052,791.2,622.0
uniform-99-n100,100,uniform,1079.5002,4841.4,4669.0,57.928059999999995,172.4,671.0
uniform-93-n100,100,uniform,1002.3714,4800.2,4205.4,52.36410000000001,594.8,533.0
uniform-91-n100,100,uniform,1049.8772,5043.6,4124.6,49.14518,919.0,475.2
singlecenter-75-n50,50,singlecenter,1109.0,6752.8,2128.0,18.85004,4624.8,1215.2
singlecenter-74-n50,50,singlecenter,1046.1200000000001,6861.6,4224.6,37.1224,2637.0,2668.4
singlecenter-79-n50,50,singlecenter,912.4824000000001,6759.4,2361.6,21.25861,4397.8,1101.8
singlecenter-72-n50,50,singlecenter,961.3614,6763.0,3135.6,28.01014,3627.4,1778.0
singlecenter-73-n50,50,singlecenter,698.9300000000001,6675.2,4368.4,39.572266,2306.8,2096.2
singlecenter-76-n50,50,singlecenter,1012.787,6827.6,2551.2,22.963458000000003,4276.4,873.6
singlecenter-78-n50,50,singlecenter,1024.2926,6749.6,2780.8,25.063712000000002,3968.8,1180.0
singlecenter-71-n50,50,singlecenter,826.4,6742.4,2824.6,25.17304,3917.8,1124.2
singlecenter-80-n50,50,singlecenter,1056.46,6803.6,2783.4,24.633684000000002,4020.2,1486.2
singlecenter-77-n50,50,singlecenter,884.4476000000001,6816.8,2461.8,21.768158,4355.0,1001.6
singlecenter-94-n100,100,singlecenter,1900.4180000000001,4791.4,4254.4,53.349900000000005,537.0,838.0
singlecenter-95-n100,100,singlecenter,1572.91,4842.8,4518.4,56.032219999999995,324.4,741.0
singlecenter-100-n100,100,singlecenter,1535.528,4755.6,4644.6,58.633179999999996,111.0,883.2
singlecenter-93-n100,100,singlecenter,1611.7620000000002,4788.6,4276.2,53.397479999999995,512.4,511.8
singlecenter-99-n100,100,singlecenter,1375.788,4869.8,4338.0,53.40482000000001,531.8,584.0
singlecenter-98-n100,100,singlecenter,1742.944,4789.8,4327.8,54.03524,462.0,738.2
singlecenter-97-n100,100,singlecenter,1682.1920000000002,4859.2,4554.4,56.38833999999999,304.8,658.6
singlecenter-96-n100,100,singlecenter,1659.248,4816.4,4291.2,53.550419999999995,525.2,517.0
singlecenter-92-n100,100,singlecenter,1749.216,4847.8,4125.6,51.209680000000006,722.2,972.0
singlecenter-91-n100,100,singlecenter,1655.556,4842.8,4348.4,54.13331999999999,494.4,1021.2
doublecenter-76-n50,50,doublecenter,1701.0059999999999,6797.2,2367.6,20.752652,4429.6,1152.0
doublecenter-78-n50,50,doublecenter,1617.9879999999998,6846.2,1318.2,12.054546,5528.0,539.2
doublecenter-71-n50,50,doublecenter,1535.41,6971.6,2402.0,20.672334,4569.6,1094.0
doublecenter-79-n50,50,doublecenter,1338.85,6920.6,3442.6,29.92816,3478.0,1822.0
doublecenter-80-n50,50,doublecenter,1525.6680000000001,6790.8,3924.2,35.255082,2866.6,2487.6
doublecenter-75-n50,50,doublecenter,1576.72,6798.4,4279.2,38.0281,2519.2,2613.0
doublecenter-73-n50,50,doublecenter,1365.632,6912.2,2309.8,20.519312,4602.4,1275.6
doublecenter-77-n50,50,doublecenter,1321.8,6912.8,1666.6,14.935034000000002,5246.2,648.2
doublecenter-74-n50,50,doublecenter,1446.4660000000001,6831.2,2276.4,20.381852000000002,4554.8,1317.8
