instance_name,num_nodes,instance_type,best_fitness,current_iteration,last_update_iteration,current_time,last_update_time,stalled_iterations,largest_iteration_offset
uniform-78-n50,50,uniform,693.0921999999999,6754.6,4863.0,60.00538,43.8609,1891.6,2701.0
uniform-alpha_1-80-n50,50,uniform,635.0642,6849.2,2730.0,60.00356000000001,23.557802000000002,4119.2,984.2
uniform-79-n50,50,uniform,643.2592000000001,6791.8,2390.4,60.005860000000006,21.04392,4401.4,1069.4
uniform-alpha_1-76-n50,50,uniform,729.7128,6749.4,3829.2,60.00318,33.842,2920.2,1965.0
uniform-alpha_1-72-n50,50,uniform,680.8522,6754.0,3045.6,60.00166,27.280882,3708.4,1247.4
uniform-alpha_1-74-n50,50,uniform,672.5289999999999,6882.2,3146.6,60.004020000000004,27.357758,3735.6,1943.2
uniform-alpha_1-78-n50,50,uniform,693.0921999999999,6737.0,4863.0,60.00434,43.529399999999995,1874.0,2701.0
uniform-alpha_3-76-n50,50,uniform,729.7128,6798.0,3829.2,60.00442,33.956540000000004,2968.8,1965.0
uniform-alpha_1-79-n50,50,uniform,643.2592000000001,6796.4,2390.4,60.00563999999999,20.875196000000003,4406.0,1069.4
uniform-74-n50,50,uniform,672.9485999999999,6892.8,2324.0,60.00617999999999,20.357357999999998,4568.8,1303.2
uniform-alpha_1-75-n50,50,uniform,691.9272000000001,6770.4,2384.6,60.00258,21.374041999999996,4385.8,821.4
uniform-alpha_3-80-n50,50,uniform,635.0642,6887.0,2730.0,60.00466,23.534882,4157.0,984.2
uniform-71-n50,50,uniform,667.7280000000001,7129.4,4325.0,60.00488,36.47004,2804.4,2875.2
uniform-alpha_3-78-n50,50,uniform,693.0921999999999,6870.2,4863.0,60.005759999999995,42.418,2007.2,2701.0
uniform-alpha_1-73-n50,50,uniform,705.4793999999999,6668.2,1731.4,60.0058,15.620861999999999,4936.8,865.0
uniform-73-n50,50,uniform,705.4793999999999,6959.4,1731.4,60.003679999999996,14.975178,5228.0,865.0
uniform-76-n50,50,uniform,729.7128,6609.2,3829.2,60.00436,34.884159999999994,2780.0,1965.0
uniform-alpha_1-77-n50,50,uniform,703.992,7074.2,2898.4,60.006299999999996,24.326531999999997,4175.8,1903.0
uniform-alpha_3-74-n50,50,uniform,672.5289999999999,6904.6,3146.6,60.00413999999999,27.155038,3758.0,1943.2
uniform-alpha_3-79-n50,50,uniform,643.2592000000001,6776.2,2390.4,60.004960000000004,21.245934,4385.8,1069.4
uniform-80-n50,50,uniform,635.0642,6900.4,2730.0,60.0031,23.837129999999995,4170.4,984.2
uniform-alpha_3-72-n50,50,uniform,680.8522,6872.0,3045.6,60.0047,26.34381,3826.4,1247.4
uniform-75-n50,50,uniform,691.9272000000001,6737.4,2384.6,60.00509999999999,21.469193999999998,4352.8,821.4
uniform-alpha_3-73-n50,50,uniform,705.4793999999999,6791.4,1731.4,60.00454,15.332296,5060.0,865.0
uniform-77-n50,50,uniform,704.4484,6943.2,1824.6,60.00446000000001,15.70111,5118.6,1070.4
uniform-alpha_3-71-n50,50,uniform,667.7280000000001,6820.0,4325.0,60.006359999999994,38.06654,2495.0,2875.2
uniform-alpha_3-77-n50,50,uniform,704.4484,6699.4,1824.6,60.003780000000006,16.514176,4874.8,1070.4
uniform-alpha_1-71-n50,50,uniform,667.7280000000001,6776.8,4325.0,60.00308,38.43752,2451.8,2875.2
uniform-alpha_3-75-n50,50,uniform,691.9272000000001,6774.4,2384.6,60.0059,21.100602000000002,4389.8,821.4
uniform-72-n50,50,uniform,680.8522,6727.8,3045.6,60.00422000000001,26.989457999999996,3682.2,1247.4
uniform-alpha_3-92-n100,100,uniform,1048.9808,4725.6,4551.8,60.00555999999999,57.617140000000006,173.8,565.8
uniform-98-n100,100,uniform,1090.806,4869.6,4187.8,60.007760000000005,51.44054,681.8,739.0
uniform-97-n100,100,uniform,1084.4982,5011.4,4665.4,60.00704,55.919399999999996,346.0,603.2
uniform-100-n100,100,uniform,1078.992,4895.6,4259.0,60.0059,52.24476,636.6,678.8
uniform-92-n100,100,uniform,1046.2216,4895.4,4748.4,60.007720000000006,58.204919999999994,147.0,565.8
uniform-94-n100,100,uniform,1059.9599999999998,4863.0,4250.8,60.010160000000006,52.156000000000006,612.2,987.0
uniform-alpha_1-95-n100,100,uniform,1133.3,4864.4,4030.4,60.007780000000004,49.76504,834.0,622.0
uniform-alpha_3-95-n100,100,uniform,1133.3,4848.8,4030.4,60.006600000000006,49.92734,818.4,622.0
uniform-alpha_3-99-n100,100,uniform,1083.3722000000002,4814.4,4640.4,60.012879999999996,57.84836,174.0,671.0
uniform-alpha_3-91-n100,100,uniform,1049.8772,4872.0,4124.6,60.00283999999999,50.8492,747.4,475.2
uniform-alpha_3-93-n100,100,uniform,1000.2382000000001,5031.0,4335.4,60.007279999999994,51.78796,695.6,541.8
uniform-alpha_1-96-n100,100,uniform,1089.4180000000001,4801.8,4327.8,60.004960000000004,54.291740000000004,474.0,747.6
uniform-96-n100,100,uniform,1089.4180000000001,4870.0,4327.8,60.00398,53.54118,542.2,747.6
uniform-alpha_3-100-n100,100,uniform,1078.992,4856.0,4259.0,60.00262,52.44072,597.0,678.8
uniform-95-n100,100,uniform,1133.3,4821.6,4030.4,60.00426,50.50052,791.2,622.0
uniform-alpha_1-99-n100,100,uniform,1083.1102000000003,4851.4,4707.6,60.00598,58.2798,143.8,671.0
uniform-alpha_1-93-n100,100,uniform,1002.3714,4853.2,4205.4,60.00564000000001,51.96096,647.8,533.0
uniform-alpha_1-98-n100,100,uniform,1090.806,4926.6,4187.8,60.008680000000005,51.01604,738.8,739.0
uniform-99-n100,100,uniform,1079.5002,4841.4,4669.0,60.00508,57.928059999999995,172.4,671.0
uniform-93-n100,100,uniform,1002.3714,4800.2,4205.4,60.00434,52.36410000000001,594.8,533.0
uniform-alpha_1-94-n100,100,uniform,1059.9599999999998,4815.8,4250.8,60.007000000000005,52.98634,565.0,987.0
uniform-alpha_1-97-n100,100,uniform,1084.4461999999999,4941.2,4494.8,60.00442,54.7379,446.4,603.2
uniform-alpha_1-91-n100,100,uniform,1049.8772,5034.8,4124.6,60.007439999999995,49.11448,910.2,475.2
uniform-alpha_3-96-n100,100,uniform,1089.4180000000001,4783.6,4327.8,60.00848,54.22648,455.8,747.6
uniform-91-n100,100,uniform,1049.8772,5043.6,4124.6,60.006600000000006,49.14518,919.0,475.2
uniform-alpha_3-98-n100,100,uniform,1090.806,4833.0,4187.8,60.00542,51.93994,645.2,739.0
uniform-alpha_1-100-n100,100,uniform,1078.992,4831.4,4259.0,60.00712,52.84836,572.4,678.8
uniform-alpha_1-92-n100,100,uniform,1045.8655999999999,4955.2,4795.0,60.006240000000005,58.1133,160.2,565.8
uniform-alpha_3-97-n100,100,uniform,1085.0162,4876.2,4464.8,60.00668,54.91994,411.4,603.2
uniform-alpha_3-94-n100,100,uniform,1059.9599999999998,4818.6,4250.8,60.010059999999996,53.057500000000005,567.8,987.0
singlecenter-alpha_1-75-n50,50,singlecenter,1109.0,6819.0,2128.0,60.00806,18.680839999999996,4691.0,1215.2
singlecenter-75-n50,50,singlecenter,1109.0,6752.8,2128.0,60.00395999999999,18.85004,4624.8,1215.2
singlecenter-alpha_1-73-n50,50,singlecenter,698.9300000000001,6847.2,4368.4,60.00358,38.333943999999995,2478.8,2096.2
singlecenter-alpha_1-79-n50,50,singlecenter,912.4824000000001,6793.4,2361.6,60.003060000000005,21.138132000000002,4431.8,1101.8
singlecenter-alpha_3-75-n50,50,singlecenter,1109.0,6773.2,2128.0,60.0044,19.14122,4645.2,1215.2
singlecenter-74-n50,50,singlecenter,1046.1200000000001,6861.6,4224.6,60.00354000000001,37.1224,2637.0,2668.4
singlecenter-alpha_3-80-n50,50,singlecenter,1056.46,6774.8,2783.4,60.00318,24.789299999999997,3991.4,1486.2
singlecenter-alpha_1-77-n50,50,singlecenter,884.4476000000001,6814.4,2461.8,60.00764,22.204636,4352.6,1001.6
singlecenter-alpha_3-76-n50,50,singlecenter,1012.787,6723.0,2551.2,60.005520000000004,23.105724000000002,4171.8,873.6
singlecenter-alpha_3-71-n50,50,singlecenter,826.4,6811.6,2824.6,60.00478,25.30382,3987.0,1124.2
singlecenter-alpha_3-78-n50,50,singlecenter,1024.2926,6790.8,2780.8,60.00312,24.396866,4010.0,1180.0
singlecenter-79-n50,50,singlecenter,912.4824000000001,6759.4,2361.6,60.00634,21.25861,4397.8,1101.8
singlecenter-alpha_3-77-n50,50,singlecenter,884.4476000000001,6689.4,2461.8,60.0049,21.871693999999998,4227.6,1001.6
singlecenter-72-n50,50,singlecenter,961.3614,6763.0,3135.6,60.005939999999995,28.01014,3627.4,1778.0
singlecenter-alpha_1-71-n50,50,singlecenter,826.4,6754.8,2824.6,60.007259999999995,25.106600000000004,3930.2,1124.2
singlecenter-alpha_3-73-n50,50,singlecenter,698.9300000000001,6859.8,4368.4,60.00488,38.154979999999995,2491.4,2096.2
singlecenter-73-n50,50,singlecenter,698.9300000000001,6675.2,4368.4,60.009339999999995,39.572266,2306.8,2096.2
singlecenter-alpha_3-79-n50,50,singlecenter,912.4824000000001,6795.0,2361.6,60.0043,20.990104,4433.4,1101.8
singlecenter-alpha_1-74-n50,50,singlecenter,1046.1200000000001,6800.6,4224.6,60.00622,37.27102,2576.0,2668.4
singlecenter-alpha_3-74-n50,50,singlecenter,1045.664,6648.8,4253.4,60.0033,38.1773,2395.4,2668.4
singlecenter-alpha_1-80-n50,50,singlecenter,1056.46,6798.8,2783.4,60.005280000000006,24.447433999999998,4015.4,1486.2
singlecenter-alpha_1-76-n50,50,singlecenter,1012.787,6786.0,2551.2,60.00523999999999,22.673128,4234.8,873.6
singlecenter-76-n50,50,singlecenter,1012.787,6827.6,2551.2,60.005179999999996,22.963458000000003,4276.4,873.6
singlecenter-78-n50,50,singlecenter,1024.2926,6749.6,2780.8,60.005280000000006,25.063712000000002,3968.8,1180.0
singlecenter-alpha_3-72-n50,50,singlecenter,961.3614,6873.6,3135.6,60.0037,26.93818,3738.0,1778.0
singlecenter-71-n50,50,singlecenter,826.4,6742.4,2824.6,60.003840000000004,25.17304,3917.8,1124.2
singlecenter-alpha_1-72-n50,50,singlecenter,961.3614,6573.4,3135.6,60.00304,29.216020000000004,3437.8,1778.0
singlecenter-80-n50,50,singlecenter,1056.46,6803.6,2783.4,60.00454,24.633684000000002,4020.2,1486.2
singlecenter-77-n50,50,singlecenter,884.4476000000001,6816.8,2461.8,60.00416,21.768158,4355.0,1001.6
singlecenter-alpha_1-78-n50,50,singlecenter,1024.2926,6774.2,2780.8,60.00394,24.676596,3993.4,1180.0
singlecenter-alpha_3-100-n100,100,singlecenter,1534.33,4864.2,4764.0,60.0062,58.766980000000004,100.2,883.2
singlecenter-alpha_3-94-n100,100,singlecenter,1898.346,4845.4,4682.0,60.00742,57.94314000000001,163.4,1201.4
