instance_name,num_nodes,instance_type,alpha,optimal_tsp_solution,best_fitness,opt_to_fit_dist,opt_to_fit_percent,current_iteration,last_update_iteration,current_time,last_update_time,stalled_iterations,largest_iteration_offset

uniform-78-n50,50,uniform,1,597.7326,539.1024,-58.6302,90.1912%,3128.0,1133.2,60.005680000000005,22.079358000000003,1994.8,499.0
uniform-78-n50,50,uniform,2,597.7326,440.863,-156.8696,73.7559%,4367.8,2514.8,60.00717999999999,34.880014,1853.0,2046.0
uniform-78-n50,50,uniform,3,597.7326,396.3766,-201.3560,66.3134%,4768.4,3453.2,60.006600000000006,43.665800000000004,1315.2,2455.6

uniform-79-n50,50,uniform,1,559.0949,504.28419999999994,-54.8107,90.1965%,3001.8,1059.8,60.010799999999996,21.255394000000003,1942.0,489.2
uniform-79-n50,50,uniform,2,559.0949,395.34839999999997,-163.7465,70.7122%,4253.0,1715.8,60.00917999999999,24.924614,2537.2,1108.2
uniform-79-n50,50,uniform,3,559.0949,350.84260000000006,-208.2523,62.7519%,4745.2,1357.0,60.00884,17.431938000000002,3388.2,548.2

uniform-74-n50,50,uniform,1,589.1712,545.1166,-44.0546,92.5226%,2996.2,1453.4,60.0056,29.5896,1542.8,965.6
uniform-74-n50,50,uniform,2,589.1712,469.6478,-119.5234,79.7133%,4403.6,2061.8,60.008539999999996,28.5452,2341.8,1477.4
uniform-74-n50,50,uniform,3,589.1712,409.56499999999994,-179.6062,69.5155%,4705.6,620.0,60.005520000000004,8.333850000000002,4085.6,209.2

uniform-71-n50,50,uniform,1,585.7107,539.3624,-46.3483,92.0868%,3028.0,1406.6,60.012620000000005,27.939430000000005,1621.4,877.8
uniform-71-n50,50,uniform,2,585.7107,429.2258,-156.4849,73.2829%,4333.0,1626.2,60.005860000000006,23.03,2706.8,857.8
uniform-71-n50,50,uniform,3,585.6887,383.2908,-202.3979,65.4428%,4766.8,2087.0,60.00784,26.750416,2679.8,1331.8

uniform-73-n50,50,uniform,1,609.5700,544.1388,-65.4312,89.2660%,3039.0,1196.6,60.014179999999996,23.504594,1842.4,548.6
uniform-73-n50,50,uniform,2,608.8319,427.0538,-181.7781,70.1431%,4343.4,2033.2,60.010400000000004,28.043919999999996,2310.2,1391.2
uniform-73-n50,50,uniform,3,608.3780,428.17659999999995,-180.2014,70.3800%,4739.8,2358.0,60.005399999999995,29.831941999999998,2381.8,1493.2

uniform-76-n50,50,uniform,1,587.3112,514.2752,-73.0360,87.5644%,3020.8,1194.8,60.00884,24.072966,1826.0,731.0
uniform-76-n50,50,uniform,2,587.3112,427.2004,-160.1108,72.7383%,4367.4,2788.6,60.00432000000001,38.08412,1578.8,1959.2
uniform-76-n50,50,uniform,3,586.2869,362.2306,-224.0563,61.7838%,4699.6,2370.0,60.002979999999994,30.942919999999997,2329.6,1588.2

uniform-80-n50,50,uniform,1,559.3202,470.7312,-88.5890,84.1613%,2950.8,671.2,60.00804000000001,13.589852000000002,2279.6,251.4
uniform-80-n50,50,uniform,2,559.3202,389.307,-170.0132,69.6036%,4199.6,2229.0,60.00767999999999,31.667138000000005,1970.6,1486.6
uniform-80-n50,50,uniform,3,559.3202,356.03159999999997,-203.2886,63.6543%,4705.2,1926.2,60.00748,24.795927999999996,2779.0,942.6

uniform-75-n50,50,uniform,1,632.8203,533.6634,-99.1569,84.3310%,3040.0,1683.6,60.01088,33.138099999999994,1356.4,806.8
uniform-75-n50,50,uniform,2,632.8203,457.4121999999999,-175.4081,72.2815%,4371.2,1204.4,60.006600000000006,16.76212,3166.8,491.4
uniform-75-n50,50,uniform,3,632.0163,411.9978,-220.0185,65.1878%,4717.4,1865.4,60.00663999999999,24.29758,2852.0,1303.6

uniform-77-n50,50,uniform,1,626.3962,542.4368000000001,-83.9594,86.5964%,3027.0,935.4,60.009479999999996,18.628778,2091.6,395.4
uniform-77-n50,50,uniform,2,627.2864,442.25640000000004,-185.0300,70.5031%,4317.2,1484.4,60.01237999999999,21.101078,2832.8,875.4
