instance_name,num_nodes,instance_type,alpha,optimal_tsp_solution,best_fitness,opt_to_fit_dist,opt_to_fit_percent,current_iteration,last_update_iteration,current_time,last_update_time,stalled_iterations,largest_iteration_offset

uniform-78-n50,50,uniform,1,597.7326,539.1024,-58.6302,90.1912%,2906.2,1133.2,60.00806,23.149914,1773.0,499.0
uniform-78-n50,50,uniform,2,597.7326,440.9704,-156.7622,73.7739%,4221.8,1788.4,60.00566,25.518994000000003,2433.4,1371.6
uniform-78-n50,50,uniform,3,597.7326,397.10720000000003,-200.6254,66.4356%,4591.2,2755.2,60.0072,35.8995,1836.0,1957.8

uniform-79-n50,50,uniform,1,559.0949,504.28419999999994,-54.8107,90.1965%,2843.0,1059.8,60.011759999999995,22.151484,1783.2,489.2
uniform-79-n50,50,uniform,2,559.0949,395.34839999999997,-163.7465,70.7122%,4104.8,1715.8,60.008939999999996,25.267552,2389.0,1108.2
uniform-79-n50,50,uniform,3,559.0949,350.84260000000006,-208.2523,62.7519%,4603.0,1357.0,60.00354,18.039319999999996,3246.0,548.2

uniform-74-n50,50,uniform,1,589.1712,545.1166,-44.0546,92.5226%,2908.8,1453.4,60.013580000000005,30.19108,1455.4,965.6
uniform-74-n50,50,uniform,2,589.1712,469.6478,-119.5234,79.7133%,4256.8,2061.8,60.007940000000005,29.1456,2195.0,1477.4
uniform-74-n50,50,uniform,3,589.1712,409.56499999999994,-179.6062,69.5155%,4584.6,620.0,60.006780000000006,8.056252,3964.6,209.2

uniform-71-n50,50,uniform,1,585.7107,539.3624,-46.3483,92.0868%,2900.8,1406.6,60.0157,29.216858000000002,1494.2,877.8
uniform-71-n50,50,uniform,2,585.7107,429.2258,-156.4849,73.2829%,4183.0,1626.2,60.0092,23.3653,2556.8,857.8
uniform-71-n50,50,uniform,3,585.6887,383.2908,-202.3979,65.4428%,4645.8,2087.0,60.00716,26.992842000000003,2558.8,1331.8

uniform-73-n50,50,uniform,1,609.5700,544.1388,-65.4312,89.2660%,2864.8,1196.6,60.011559999999996,24.880564,1668.2,548.6
uniform-73-n50,50,uniform,2,608.8319,427.0538,-181.7781,70.1431%,4244.0,2033.2,60.004020000000004,28.86334,2210.8,1391.2
uniform-73-n50,50,uniform,3,608.3780,428.17659999999995,-180.2014,70.3800%,4682.6,2358.0,60.00594000000001,30.282822,2324.6,1493.2

uniform-76-n50,50,uniform,1,587.3112,514.2752,-73.0360,87.5644%,2863.4,1194.8,60.00546000000001,25.0962,1668.6,731.0
uniform-76-n50,50,uniform,2,587.3112,427.4662,-159.8450,72.7836%,4261.2,2782.2,60.00608,38.96988,1479.0,1959.2
uniform-76-n50,50,uniform,3,586.2869,362.2306,-224.0563,61.7838%,4686.8,2370.0,60.005759999999995,30.34482,2316.8,1588.2

uniform-80-n50,50,uniform,1,559.3202,470.7312,-88.5890,84.1613%,2844.6,671.2,60.012620000000005,14.083483999999999,2173.4,251.4
uniform-80-n50,50,uniform,2,559.3202,389.307,-170.0132,69.6036%,4295.2,2229.0,60.00834,31.276494000000003,2066.2,1486.6
uniform-80-n50,50,uniform,3,559.3202,356.03159999999997,-203.2886,63.6543%,4583.8,1926.2,60.00617999999999,25.146878,2657.6,942.6

uniform-75-n50,50,uniform,1,632.8203,533.6634,-99.1569,84.3310%,2892.4,1683.6,60.00896,35.163599999999995,1208.8,806.8
uniform-75-n50,50,uniform,2,632.8203,457.4121999999999,-175.4081,72.2815%,4225.8,1204.4,60.00735999999999,17.303608,3021.4,491.4
uniform-75-n50,50,uniform,3,632.0163,411.9978,-220.0185,65.1878%,4628.8,1865.4,60.0055,24.052960000000002,2763.4,1303.6

uniform-77-n50,50,uniform,1,626.3962,542.4368000000001,-83.9594,86.5964%,2867.8,935.4,60.0126,19.802336000000004,1932.4,395.4
uniform-77-n50,50,uniform,2,627.2864,442.25640000000004,-185.0300,70.5031%,4198.8,1484.4,60.005340000000004,21.344758,2714.4,875.4
uniform-77-n50,50,uniform,3,627.2864,415.8618,-211.4246,66.2954%,4685.6,1434.6,60.0043,18.348053999999998,3251.0,578.0

uniform-72-n50,50,uniform,1,616.9627,555.357,-61.6057,90.0147%,2860.4,871.0,60.00698,18.13639,1989.4,386.8
uniform-72-n50,50,uniform,2,616.9627,451.4222,-165.5405,73.1685%,4295.2,3042.0,60.00694,42.53458,1253.2,2441.8
uniform-72-n50,50,uniform,3,618.2803,424.4482,-193.8321,68.6498%,4631.8,3127.4,60.00450000000001,40.515268,1504.4,1840.8

uniform-98-n100,100,uniform,1,778.4030,838.1144,59.7114,107.6710%,1218.2,1147.0,60.03132000000001,56.40584,71.2,89.4
uniform-98-n100,100,uniform,2,778.4010,709.3735999999999,-69.0274,91.1322%,2020.6,1731.0,60.012699999999995,51.41426,289.6,291.8
uniform-98-n100,100,uniform,3,778.4030,603.5824,-174.8206,77.5411%,2272.2,1931.0,60.010059999999996,51.03205999999999,341.2,511.8

uniform-97-n100,100,uniform,1,799.8325,846.5106,46.6781,105.8360%,1209.4,1181.2,60.036559999999994,58.6804,28.2,120.4
uniform-97-n100,100,uniform,2,798.4996,710.3388,-88.1608,88.9592%,1998.4,1755.2,60.0095,52.67528,243.2,323.4
uniform-97-n100,100,uniform,3,798.3644,634.9858,-163.3786,79.5358%,2297.2,2026.2,60.01646000000001,52.93982,271.0,425.0

uniform-100-n100,100,uniform,1,793.6156,861.1887999999999,67.5732,108.5146%,1227.0,1160.2,60.03092,56.57688,66.8,105.4
uniform-100-n100,100,uniform,2,793.6156,675.7628000000001,-117.8528,85.1499%,2035.2,1701.0,60.010040000000004,50.02148,334.2,271.8
uniform-100-n100,100,uniform,3,793.6156,620.5310000000001,-173.0846,78.1904%,2313.0,2141.8,60.01528,55.56644,171.2,670.2

