instance_name,num_nodes,instance_type,best_fitness,current_iteration,last_update_iteration,last_update_time,stalled_iterations,largest_iteration_offset
uniform-78-n50,50,uniform,693.0922,7039,4863,41.62718,2176,2701
uniform-alpha_1-80-n50,50,uniform,635.0642,7002.2,2730,23.540256,4272.2,984.2
uniform-79-n50,50,uniform,643.2592,7038,2390.4,20.462004,4647.6,1069.4
uniform-alpha_1-76-n50,50,uniform,729.7128,7012.6,3829.2,32.86146,3183.4,1965
uniform-alpha_1-72-n50,50,uniform,680.8522,7065.8,3045.6,25.911448,4020.2,1247.4
uniform-alpha_1-74-n50,50,uniform,672.529,6926,3146.6,27.17533,3779.4,1943.2
uniform-alpha_1-78-n50,50,uniform,693.0922,6944.4,4863,42.04072,2081.4,2701
uniform-alpha_3-76-n50,50,uniform,729.7128,6988,3829.2,32.57358,3158.8,1965
uniform-alpha_1-79-n50,50,uniform,643.2592,6977.6,2390.4,20.515184,4587.2,1069.4
uniform-74-n50,50,uniform,672.529,7079.8,3146.6,26.798976,3933.2,1943.2
uniform-alpha_1-75-n50,50,uniform,691.9272,7056.8,2384.6,20.248878,4672.2,821.4
uniform-alpha_3-80-n50,50,uniform,635.0642,6979.6,2730,23.561864,4249.6,984.2
uniform-71-n50,50,uniform,667.728,7051.6,4325,37.0502,2726.6,2875.2
uniform-alpha_3-78-n50,50,uniform,693.0922,7054.2,4863,41.38176,2191.2,2701
uniform-alpha_1-73-n50,50,uniform,705.4794,6993.8,1731.4,14.797434,5262.4,865
uniform-73-n50,50,uniform,705.4794,7033.8,1731.4,15.055438,5302.4,865
uniform-76-n50,50,uniform,729.7128,7055.4,3829.2,32.65248,3226.2,1965
uniform-alpha_1-77-n50,50,uniform,704.4484,6966.4,1824.6,15.868532,5141.8,1070.4
uniform-alpha_3-74-n50,50,uniform,672.529,7047.8,3146.6,26.873048,3901.2,1943.2
uniform-alpha_3-79-n50,50,uniform,643.2592,6982.6,2390.4,20.19236,4592.2,1069.4
uniform-80-n50,50,uniform,635.0642,7069.6,2730,23.040362,4339.6,984.2
uniform-alpha_3-72-n50,50,uniform,680.8522,7025.6,3045.6,26.293686,3980,1247.4
uniform-75-n50,50,uniform,691.9272,7042.8,2384.6,20.309142,4658.2,821.4
uniform-alpha_3-73-n50,50,uniform,705.4794,6951.4,1731.4,15.573324,5220,865
uniform-77-n50,50,uniform,703.992,7100.6,2898.4,24.486094,4202.2,1903
uniform-alpha_3-71-n50,50,uniform,667.728,7005.4,4325,37.0945,2680.4,2875.2
uniform-alpha_3-77-n50,50,uniform,704.4484,6998.2,1824.6,15.848314,5173.6,1070.4
uniform-alpha_1-71-n50,50,uniform,667.728,6941.4,4325,37.23502,2616.4,2875.2
uniform-alpha_3-75-n50,50,uniform,691.9272,6952.6,2384.6,20.839326,4568,821.4
uniform-72-n50,50,uniform,680.8522,7000.4,3045.6,26.316978,3954.8,1247.4
uniform-alpha_3-92-n100,100,uniform,1045.7262,4955.8,4807.6,58.24148,148.2,565.8
uniform-98-n100,100,uniform,1090.806,4957.8,4187.8,50.68708,770,739
uniform-97-n100,100,uniform,1083.3082,4980.2,4590,55.245,390.2,603.2
uniform-100-n100,100,uniform,1077.116,4988.4,4420.2,53.255,568.2,678.8
uniform-92-n100,100,uniform,1044.9612,4975,4822.8,58.19562,152.2,565.8
uniform-94-n100,100,uniform,1059.96,4976,4250.8,51.01166,725.2,987
uniform-alpha_1-95-n100,100,uniform,1132.036,5006.2,4117.6,49.442,888.6,626.2
uniform-alpha_3-95-n100,100,uniform,1132.036,4964,4117.6,49.93878,846.4,626.2
uniform-alpha_3-99-n100,100,uniform,1077.6862,5026.2,4858,58.00776,168.2,671
uniform-alpha_3-91-n100,100,uniform,1049.8772,4988.2,4124.6,49.6653,863.6,475.2
uniform-alpha_3-93-n100,100,uniform,1001.0386,5002,4315.6,51.68594,686.4,541.8
uniform-alpha_1-96-n100,100,uniform,1089.418,4979.8,4327.8,52.03824,652,747.6
uniform-96-n100,100,uniform,1089.418,4968,4327.8,52.34746,640.2,747.6
uniform-alpha_3-100-n100,100,uniform,1077.116,5017.8,4420.2,52.8953,597.6,678.8
uniform-95-n100,100,uniform,1132.036,5028.8,4117.6,49.20916,911.2,626.2
