num_nodes,instance_type,alpha,runtime,optimal_tsp_solution,best_fitness,opt_to_fit_dist,opt_to_fit_percent,current_iteration,last_update_iteration,current_time,last_update_time,stalled_iterations,largest_iteration_offset

50,singlecenter,1,15,855.8873,703.7264,-152.1609,82.2219%,355.8500,272.4500,15.0178,11.4931,83.4000,38.4000
50,singlecenter,1,30,855.8873,700.4842,-155.4031,81.8430%,790.3500,475.0500,30.0173,18.5404,315.3000,158.3000
50,singlecenter,1,60,855.8873,697.7077,-158.1796,81.5186%,1560.2000,869.3500,60.0188,34.9939,690.8500,366.3500
50,singlecenter,1,120,855.8873,696.6167,-159.2706,81.3912%,2901.9000,1257.3500,120.0175,53.5593,1644.5500,678.5500
50,singlecenter,1,240,855.8873,691.2300,-164.6574,80.7618%,7962.6500,2401.6500,240.0108,80.2584,5561.0000,1548.8500

50,singlecenter,2,15,817.3424,529.9323,-287.4101,64.8360%,486.2333,370.4333,15.0151,11.4411,115.8000,77.8667
50,singlecenter,2,30,817.3424,525.5183,-291.8241,64.2960%,1087.1000,643.5333,30.0141,18.5297,443.5667,253.6000
50,singlecenter,2,60,817.3424,521.6128,-295.7296,63.8181%,2106.2000,1106.9000,60.0148,32.9762,999.3000,513.2667
50,singlecenter,2,120,817.3424,519.6020,-297.7404,63.5721%,4162.2667,1847.5333,120.0133,56.4222,2314.7333,956.1000
50,singlecenter,2,240,817.3424,517.4106,-299.9318,63.3040%,10028.4000,3930.8667,240.0099,93.8267,6097.5333,2287.7667

50,singlecenter,3,15,895.3958,495.9981,-399.3978,55.3943%,511.2667,445.1333,15.0157,13.0744,66.1333,110.6000
50,singlecenter,3,30,895.3958,492.8173,-402.5785,55.0390%,1102.4667,700.4000,30.0133,19.6611,402.0667,238.2667
50,singlecenter,3,60,895.3958,490.6043,-404.7916,54.7919%,2163.7333,1163.6667,60.0122,30.6992,1000.0667,458.7333
50,singlecenter,3,120,895.3958,489.0225,-406.3734,54.6152%,4704.3333,1728.4667,120.0112,48.2853,2975.8667,796.6000
50,singlecenter,3,240,895.3958,485.6097,-409.7862,54.2341%,9314.2667,4222.8667,240.0085,111.4722,5091.4000,2098.4667


100,singlecenter,1,15,1173.4982,1303.0750,129.5768,111.0419%,189.1667,186.1667,15.0327,14.7975,3.0000,14.5000
100,singlecenter,1,30,1105.5729,1126.4540,20.8811,101.8887%,406.2000,395.2000,30.0226,29.4998,11.0000,15.2000
100,singlecenter,1,60,1105.5729,1046.7634,-58.8095,94.6806%,766.0000,736.0000,60.0373,58.0099,30.0000,50.6000
100,singlecenter,1,120,1105.5729,1012.8084,-92.7645,91.6094%,1371.0000,1269.0000,120.0324,111.0606,102.0000,81.0000
100,singlecenter,1,240,1105.5729,1002.3900,-103.1829,90.6670%,3806.0000,3494.4000,240.0388,219.1008,311.6000,1093.0000

100,singlecenter,2,15,1454.4834,1217.4040,-237.0794,83.7001%,276.1333,272.5333,15.0223,14.8319,3.6000,16.5333
100,singlecenter,2,30,1454.4834,1129.9614,-324.5220,77.6882%,588.9333,576.4000,30.0241,29.3379,12.5333,32.4667
100,singlecenter,2,60,1454.4834,1078.8153,-375.6680,74.1717%,1164.0000,1078.2667,60.0178,55.6364,85.7333,89.3333
100,singlecenter,2,120,1454.4834,1045.2179,-409.2655,71.8618%,2325.4667,2034.0000,120.0184,109.1617,291.4667,231.4667
100,singlecenter,2,240,1454.4834,1032.7659,-421.7174,71.0057%,5283.9333,3912.1333,240.0155,182.6880,1371.8000,1119.2667

100,singlecenter,3,15,1227.7360,939.5002,-288.2358,76.5230%,312.7000,306.1000,15.0185,14.6932,6.6000,15.4000
100,singlecenter,3,30,1227.7360,885.2720,-342.4640,72.1061%,618.6000,607.4000,30.0188,29.4592,11.2000,50.2000
100,singlecenter,3,60,1227.7360,846.4386,-381.2974,68.9430%,1407.5000,1258.2000,60.0179,53.0414,149.3000,124.2000
100,singlecenter,3,120,1227.7360,824.1717,-403.5643,67.1294%,2707.3000,2445.4000,120.0182,110.6769,261.9000,506.5000
100,singlecenter,3,240,1227.7360,815.4077,-412.3283,66.4156%,5814.3000,4244.5000,240.0191,178.2414,1569.8000,1141.5000


