num_nodes,instance_type,alpha,runtime,optimal_tsp_solution,best_fitness,opt_to_fit_dist,opt_to_fit_percent,current_iteration,last_update_iteration,current_time,last_update_time,stalled_iterations,largest_iteration_offset

50,uniform,1,15,596.4090,492.6018,-103.8072,-17.4054%,797.8400,193.6000,15.0085,3.6168,604.2400,130.7000
50,uniform,1,30,596.4090,492.3001,-104.1088,-17.4559%,1590.3400,264.8400,30.0092,4.9843,1325.5000,186.1800
50,uniform,1,60,596.4090,492.2246,-104.1843,-17.4686%,3180.7200,330.5000,60.0091,6.2201,2850.2200,229.6200
50,uniform,1,120,596.4090,491.9788,-104.4302,-17.5098%,6344.2000,790.6600,120.0095,14.9600,5553.5400,611.6200

50,uniform,2,15,596.4242,405.4424,-190.9818,-32.0211%,1163.2800,279.9800,15.0065,3.6077,883.3000,153.4800
50,uniform,2,30,596.4242,405.0567,-191.3675,-32.0858%,2326.9400,485.2800,30.0072,6.2739,1841.6600,336.0800
50,uniform,2,60,596.4242,404.7338,-191.6904,-32.1399%,4653.4000,885.9200,60.0065,11.3980,3767.4800,712.0400
50,uniform,2,120,596.4242,404.3152,-192.1090,-32.2101%,9307.2400,1721.1600,120.0059,22.1540,7586.0800,1389.7000

50,uniform,3,15,596.3256,372.0309,-224.2947,-37.6128%,1264.6800,388.7000,15.0056,4.6097,875.9800,222.2200
50,uniform,3,30,596.3256,371.3931,-224.9325,-37.7197%,2533.9800,891.3400,30.0060,10.5653,1642.6400,616.1200
50,uniform,3,60,596.3256,370.5030,-225.8225,-37.8690%,5068.4000,2111.6200,60.0055,25.0734,2956.7800,1472.0400
50,uniform,3,120,596.3256,369.6452,-226.6803,-38.0128%,10136.7000,3381.3800,120.0071,40.0725,6755.3200,2239.7200


75,uniform,1,15,695.6508,569.8329,-125.8179,-18.0864%,406.9000,208.7000,15.0182,7.6073,198.2000,99.3000
75,uniform,1,30,695.6508,569.6100,-126.0408,-18.1184%,805.0600,231.4800,30.0205,8.4698,573.5800,105.9800
75,uniform,1,60,695.6508,569.2530,-126.3978,-18.1697%,1604.1800,353.1600,60.0168,13.0410,1251.0200,193.0200
75,uniform,1,120,695.6508,569.0879,-126.5629,-18.1935%,3194.6000,501.5400,120.0184,18.6173,2693.0600,329.8600

75,uniform,2,15,696.2886,475.4613,-220.8273,-31.7149%,692.6800,376.1200,15.0134,8.1226,316.5600,140.9600
75,uniform,2,30,696.2886,475.0849,-221.2037,-31.7690%,1381.8400,497.9600,30.0108,10.7802,883.8800,231.0400
75,uniform,2,60,696.2886,474.8056,-221.4830,-31.8091%,2757.8400,844.8200,60.0105,18.3301,1913.0200,537.6800
75,uniform,2,120,696.2886,474.4704,-221.8182,-31.8572%,5514.1800,1453.9600,120.0127,31.6083,4060.2200,969.0600

75,uniform,3,15,696.0042,438.6968,-257.3074,-36.9692%,788.3400,378.0600,15.0098,7.1750,410.2800,143.7800
75,uniform,3,30,696.0042,437.3603,-258.6438,-37.1612%,1574.1600,718.9600,30.0099,13.6900,855.2000,370.2800
75,uniform,3,60,696.0042,436.6983,-259.3059,-37.2564%,3147.4400,1277.3400,60.0096,24.3021,1870.1000,757.1000
75,uniform,3,120,696.0042,436.0963,-259.9079,-37.3429%,6295.5200,2231.1400,120.0082,42.5464,4064.3800,1474.3600


100,uniform,1,15,783.6820,650.6825,-132.9995,-16.9711%,316.0000,232.5800,15.0247,10.9674,83.4200,106.3400
