Instance Name, Truck Speed, Drone Speed, Number of Nodes, TSP Sol Cost, Arcs in Gaux, Triples, Gaux Ini Time, Gaux Building Time, Shortest Path Time, FSTSP Sol Cost, Average Time (ns)
doublecenter-alpha_3-57-n10.txt, 1, 0.333333, 10, 793.443, 19, 9, 660, 4277, 1150, 515.045, 23120
doublecenter-alpha_3-41-n9.txt, 1, 0.333333, 9, 884.653, 20, 11, 642, 4583, 1069, 654.062, 23326
doublecenter-alpha_1-67-n20.txt, 1, 1, 20, 842.264, 149, 158, 737, 42030, 2462, 631.66, 62885
doublecenter-96-n100.txt, 1, 0.5, 100, 2044.86, 220, 120, 1091, 49037, 4267, 1511.19, 72079
doublecenter-99-n100.txt, 1, 0.5, 100, 1856.9, 246, 146, 1087, 54659, 6328, 1240.33, 80129
doublecenter-alpha_3-55-n10.txt, 1, 0.333333, 10, 1037.04, 21, 11, 667, 4823, 1204, 569.275, 24069
doublecenter-alpha_3-97-n100.txt, 1, 0.333333, 100, 2134.65, 211, 111, 1020, 46182, 4012, 1546.51, 68724
doublecenter-alpha_1-18-n375.txt, 1, 1, 375, 3716.87, 2462, 2641, 2732, 695601, 31485, 2918.23, 749192
doublecenter-alpha_1-19-n6.txt, 1, 1, 6, 549.192, 21, 21, 654, 6226, 994, 498.901, 24867
doublecenter-alpha_3-35-n8.txt, 1, 0.333333, 8, 658.277, 15, 7, 861, 3343, 987, 563.88, 22470
doublecenter-alpha_3-114-n250.txt, 1, 0.333333, 250, 2881.71, 525, 275, 1633, 113095, 10085, 2014.07, 143511
doublecenter-alpha_1-19-n375.txt, 1, 1, 375, 3984.05, 2645, 2832, 2094, 736461, 33492, 3115.58, 798176
doublecenter-alpha_1-10-n500.txt, 1, 1, 500, 4882.26, 3260, 3516, 4559, 992260, 41684, 3844.45, 1.0612e+06
doublecenter-4-n5.txt, 1, 0.5, 5, 476.218, 9, 4, 965, 3155, 1223, 398.496, 70937
doublecenter-alpha_3-18-n375.txt, 1, 0.333333, 375, 3716.87, 782, 407, 1987, 162190, 12984, 2582.3, 194946
doublecenter-34-n8.txt, 1, 0.5, 8, 1031.84, 17, 9, 849, 4024, 1243, 692.168, 35898
doublecenter-alpha_3-84-n75.txt, 1, 0.333333, 75, 1990.2, 158, 83, 2844, 33171, 3141, 1368.65, 56964
doublecenter-alpha_1-16-n6.txt, 1, 1, 6, 584.357, 19, 18, 611, 5432, 1047, 491.084, 23739
doublecenter-36-n8.txt, 1, 0.5, 8, 801.295, 18, 10, 792, 3986, 1058, 496.184, 22291
doublecenter-57-n10.txt, 1, 0.5, 10, 793.443, 23, 13, 634, 4982, 1172, 515.211, 23117
doublecenter-14-n375.txt, 1, 0.5, 375, 4073.04, 843, 469, 2048, 187424, 14791, 2803.47, 222888
doublecenter-alpha_1-102-n175.txt, 1, 1, 175, 2617.16, 1355, 1442, 1754, 377340, 16128, 2108.07, 414499
doublecenter-alpha_3-17-n375.txt, 1, 0.333333, 375, 4048.95, 770, 395, 3429, 238158, 23018, 2924.46, 298274
doublecenter-26-n7.txt, 1, 0.5, 7, 536.519, 13, 6, 635, 2999, 955, 475.522, 21345
doublecenter-alpha_1-35-n8.txt, 1, 1, 8, 658.277, 31, 32, 854, 9025, 1229, 586.475, 27957
doublecenter-alpha_3-80-n50.txt, 1, 0.333333, 50, 1518.65, 108, 58, 2823, 21925, 3809, 1017.86, 45732
doublecenter-alpha_1-20-n375.txt, 1, 1, 375, 3870.47, 2515, 2687, 2671, 776763, 31873, 3008.7, 830108
doublecenter-alpha_1-76-n50.txt, 1, 1, 50, 1513.82, 403, 429, 2729, 108447, 5099, 1124.41, 134375
doublecenter-alpha_3-7-n500.txt, 1, 0.333333, 500, 4577.71, 1036, 536, 4694, 223227, 17170, 3419.44, 264411
doublecenter-alpha_1-59-n10.txt, 1, 1, 10, 842.195, 35, 36, 664, 10507, 1293, 715.381, 29792
doublecenter-alpha_1-6-n500.txt, 1, 1, 500, 4163.72, 3388, 3654, 5486, 960924, 42874, 3345.18, 1.02935e+06
doublecenter-alpha_3-27-n7.txt, 1, 0.333333, 7, 581.532, 15, 8, 684, 3538, 1095, 246.607, 22400
