Instance Name, Truck Speed, Drone Speed, Number of Nodes, TSP Sol Cost, Arcs in Gaux, Triples, Gaux Ini Time, Gaux Building Time, Shortest Path Time, FSTSP Sol Cost, Average Time (ns)
doublecenter-alpha_3-57-n10.txt, 1, 0.333333, 10, 792.45, 110, 11, 18591, 9575, 3527, 493.267, 81940
doublecenter-alpha_3-41-n9.txt, 1, 0.333333, 9, 865.611, 90, 11, 10255, 7448, 2714, 670.736, 53552
doublecenter-alpha_1-67-n20.txt, 1, 1, 20, 814.52, 420, 124, 28119, 51995, 7151, 657.173, 122888
doublecenter-96-n100.txt, 1, 0.5, 100, 2068.61, 10100, 112, 355487, 73405, 76413, 1543.45, 556521
doublecenter-99-n100.txt, 1, 0.5, 100, 1823.88, 10100, 119, 356619, 77790, 77037, 1318.21, 562928
doublecenter-alpha_3-55-n10.txt, 1, 0.333333, 10, 953.958, 110, 13, 14853, 8736, 2979, 507.946, 60335
doublecenter-alpha_3-97-n100.txt, 1, 0.333333, 100, 1989.94, 10100, 110, 362098, 74736, 76815, 1416.73, 566110
doublecenter-alpha_1-18-n375.txt, 1, 1, 375, 3779.7, 141000, 2526, 4.32741e+06, 1.13972e+06, 1.00392e+06, 3082.76, 6.69806e+06
doublecenter-alpha_1-19-n6.txt, 1, 1, 6, 516.415, 42, 21, 5978, 8800, 1660, 498.901, 44400
doublecenter-alpha_3-35-n8.txt, 1, 0.333333, 8, 616.589, 72, 7, 8076, 4741, 2021, 539.865, 42637
doublecenter-alpha_3-114-n250.txt, 1, 0.333333, 250, 2721.71, 62750, 251, 1.71393e+06, 149096, 400086, 2096.43, 2.33857e+06
doublecenter-alpha_1-19-n375.txt, 1, 1, 375, 3793.62, 141000, 2692, 2.85517e+06, 750195, 877970, 3050.89, 4.64655e+06
doublecenter-alpha_1-10-n500.txt, 1, 1, 500, 5010.15, 250500, 3637, 4.16268e+06, 808151, 1.16468e+06, 4106.49, 6.35506e+06
doublecenter-4-n5.txt, 1, 0.5, 5, 461.76, 30, 4, 3292, 1898, 944, 398.496, 24215
doublecenter-alpha_3-18-n375.txt, 1, 0.333333, 375, 4258.82, 141000, 391, 2.74287e+06, 144621, 539737, 3236.12, 3.56612e+06
doublecenter-34-n8.txt, 1, 0.5, 8, 942.362, 72, 7, 5295, 3096, 1305, 718.493, 28354
doublecenter-alpha_3-84-n75.txt, 1, 0.333333, 75, 2039.43, 5700, 83, 116635, 31128, 23712, 1433.9, 197048
doublecenter-alpha_1-16-n6.txt, 1, 1, 6, 592.712, 42, 20, 3888, 5283, 1032, 491.084, 27938
doublecenter-36-n8.txt, 1, 0.5, 8, 749.87, 72, 7, 5122, 3176, 1263, 552.764, 27557
doublecenter-57-n10.txt, 1, 0.5, 10, 753.952, 110, 11, 8250, 4140, 1610, 505.395, 32692
doublecenter-14-n375.txt, 1, 0.5, 375, 4098.9, 141000, 452, 2.33556e+06, 159450, 554367, 2951.85, 3.18919e+06
doublecenter-alpha_1-102-n175.txt, 1, 1, 175, 2638.29, 30800, 1271, 598940, 399302, 224154, 2130.49, 1.30566e+06
doublecenter-alpha_3-17-n375.txt, 1, 0.333333, 375, 4185.89, 141000, 400, 2.37132e+06, 147472, 572357, 2990.08, 3.22637e+06
doublecenter-26-n7.txt, 1, 0.5, 7, 536.169, 56, 6, 4602, 2713, 1194, 454.826, 26831
doublecenter-alpha_1-35-n8.txt, 1, 1, 8, 616.589, 72, 31, 6882, 11224, 1925, 571.328, 43302
doublecenter-alpha_3-80-n50.txt, 1, 0.333333, 50, 1500.26, 2550, 51, 61476, 19680, 11792, 1036.3, 116128
doublecenter-alpha_1-20-n375.txt, 1, 1, 375, 3835.69, 141000, 2637, 2.37573e+06, 670963, 624614, 3194.74, 3.80845e+06
doublecenter-alpha_1-76-n50.txt, 1, 1, 50, 1479.27, 2550, 334, 61448, 76370, 14871, 1112.32, 176239
doublecenter-alpha_3-7-n500.txt, 1, 0.333333, 500, 4492.82, 250500, 503, 4.20426e+06, 192910, 957498, 3402.82, 5.56954e+06
doublecenter-alpha_1-59-n10.txt, 1, 1, 10, 842.195, 110, 36, 8350, 9648, 1854, 715.381, 38903
doublecenter-alpha_1-6-n500.txt, 1, 1, 500, 4008.75, 250500, 3387, 4.48383e+06, 853088, 1.00741e+06, 3221.25, 6.57301e+06
