Instance Name, Truck Speed, Drone Speed, Number of Nodes, TSP Sol Cost, Arcs in Gaux, Triples, Gaux Ini Time, Gaux Building Time, Shortest Path Time, FSTSP Sol Cost, Average Time (ns)
doublecenter-alpha_3-57-n10.txt, 1, 0.333333, 10, 881.533, 19, 9, 638, 4072, 1162, 553.608, 23008
doublecenter-alpha_3-41-n9.txt, 1, 0.333333, 9, 895.082, 17, 8, 631, 3857, 1024, 698.553, 22177
doublecenter-alpha_1-67-n20.txt, 1, 1, 20, 1035.39, 104, 110, 667, 30627, 2021, 696.201, 50595
doublecenter-96-n100.txt, 1, 0.5, 100, 2164.34, 209, 109, 986, 45768, 4125, 1640.88, 68152
doublecenter-99-n100.txt, 1, 0.5, 100, 2277.94, 208, 108, 991, 44701, 3940, 1631.63, 66899
doublecenter-alpha_3-55-n10.txt, 1, 0.333333, 10, 1116.92, 19, 9, 628, 4161, 1033, 753.435, 22596
doublecenter-alpha_3-97-n100.txt, 1, 0.333333, 100, 2474.02, 199, 99, 1076, 56147, 4155, 1856.32, 79263
doublecenter-alpha_1-18-n375.txt, 1, 1, 375, 4492.14, 2315, 2499, 2268, 643302, 30858, 3423.37, 695093
doublecenter-alpha_1-19-n6.txt, 1, 1, 6, 549.192, 21, 21, 647, 6355, 1038, 498.901, 25235
doublecenter-alpha_3-35-n8.txt, 1, 0.333333, 8, 620.696, 15, 7, 870, 3354, 936, 545.651, 21768
doublecenter-alpha_3-114-n250.txt, 1, 0.333333, 250, 3032.93, 499, 249, 1622, 104874, 9139, 2354.76, 134004
doublecenter-alpha_1-19-n375.txt, 1, 1, 375, 4591.72, 2206, 2388, 2160, 754098, 29549, 3854.42, 805410
doublecenter-alpha_1-10-n500.txt, 1, 1, 500, 5675.29, 3109, 3360, 5154, 887546, 41634, 4745.99, 954291
doublecenter-4-n5.txt, 1, 0.5, 5, 476.218, 9, 4, 640, 2063, 874, 398.496, 20468
doublecenter-alpha_3-18-n375.txt, 1, 0.333333, 375, 4492.14, 750, 375, 2108, 156751, 13562, 2969.36, 190656
doublecenter-34-n8.txt, 1, 0.5, 8, 1052.97, 15, 7, 812, 3238, 1063, 625.689, 21881
doublecenter-alpha_3-84-n75.txt, 1, 0.333333, 75, 2109.01, 149, 74, 2713, 31427, 2856, 1630.06, 54258
doublecenter-alpha_1-16-n6.txt, 1, 1, 6, 592.712, 20, 20, 671, 6001, 940, 491.084, 24593
doublecenter-36-n8.txt, 1, 0.5, 8, 749.87, 15, 7, 925, 3381, 966, 552.764, 22144
doublecenter-57-n10.txt, 1, 0.5, 10, 881.533, 19, 9, 780, 4120, 1404, 553.608, 23153
doublecenter-14-n375.txt, 1, 0.5, 375, 4837.91, 793, 420, 2168, 169050, 13785, 3381.66, 203502
doublecenter-alpha_1-102-n175.txt, 1, 1, 175, 3111.13, 1141, 1231, 1387, 316808, 14989, 2438.52, 351847
doublecenter-alpha_3-17-n375.txt, 1, 0.333333, 375, 4493.01, 751, 376, 2272, 160014, 14207, 3197.57, 195271
doublecenter-26-n7.txt, 1, 0.5, 7, 536.169, 13, 6, 674, 3024, 1063, 454.826, 22155
doublecenter-alpha_1-35-n8.txt, 1, 1, 8, 620.696, 33, 34, 863, 9765, 1130, 575.436, 28914
doublecenter-alpha_3-80-n50.txt, 1, 0.333333, 50, 1816.35, 99, 49, 2819, 20939, 3613, 1152.3, 45239
doublecenter-alpha_1-20-n375.txt, 1, 1, 375, 4244.21, 2264, 2446, 2202, 645583, 30203, 3467.04, 697836
doublecenter-alpha_1-76-n50.txt, 1, 1, 50, 1917.5, 350, 375, 2801, 97985, 4950, 1466.71, 123623
doublecenter-alpha_3-7-n500.txt, 1, 0.333333, 500, 5118.21, 999, 499, 4691, 214027, 16538, 4004.71, 254465
doublecenter-alpha_1-59-n10.txt, 1, 1, 10, 862.905, 38, 39, 793, 17088, 1652, 698.587, 40916
doublecenter-alpha_1-6-n500.txt, 1, 1, 500, 5051.45, 2868, 3111, 5058, 831921, 40307, 4105.45, 898013
doublecenter-alpha_3-27-n7.txt, 1, 0.333333, 7, 626.302, 14, 7, 633, 3312, 996, 243.103, 22798
doublecenter-alpha_3-19-n375.txt, 1, 0.333333, 375, 4591.72, 749, 374, 2140, 160408, 14937, 3516.33, 197034
doublecenter-alpha_3-42-n9.txt, 1, 0.333333, 9, 863.333, 17, 8, 1111, 3730, 1357, 486.189, 24147
doublecenter-alpha_1-64-n20.txt, 1, 1, 20, 1224.16, 97, 102, 1069, 45071, 2535, 1067.21, 78047
doublecenter-alpha_1-1-n375.txt, 1, 1, 375, 4311.52, 2251, 2438, 2229, 640560, 29802, 3522.96, 693463
doublecenter-alpha_1-86-n75.txt, 1, 1, 75, 1835.85, 405, 435, 2807, 111886, 6218, 1432.49, 138540
doublecenter-75-n50.txt, 1, 0.5, 50, 1677.84, 101, 51, 2850, 21390, 3815, 1228.14, 46080
doublecenter-alpha_1-120-n250.txt, 1, 1, 250, 3355.99, 1537, 1655, 1654, 441645, 22428, 2745.75, 486420
