instance_name,num_nodes,instance_type,optimal_solution,best_fitness,opt_to_fit_dist,opt_to_fit_percent,current_iteration,last_update_iteration,current_time,last_update_time,stalled_iterations,largest_iteration_offset
uniform-78-n50,50,uniform,597.7326,685.3779999999999,87.6454,114.6630%,6916.0,5176.4,60.00449999999999,44.928020000000004,1739.6,2935.6
uniform-79-n50,50,uniform,559.0949,639.0782,79.9833,114.3059%,6920.0,3327.0,60.00394,28.900774000000002,3593.0,1442.6
uniform-74-n50,50,uniform,589.1712,698.5304,109.3592,118.5615%,6938.4,3586.0,60.00458,31.058929999999997,3352.4,1854.2
uniform-71-n50,50,uniform,585.7107,691.1862000000001,105.4755,118.0081%,6932.4,3125.2,60.00598,27.097499999999997,3807.2,1157.4
uniform-73-n50,50,uniform,608.8319,659.7708,50.9389,108.3667%,6925.8,3806.4,60.004560000000005,33.01502000000001,3119.4,1979.0
uniform-76-n50,50,uniform,587.3112,666.9952000000001,79.6840,113.5676%,6939.0,1873.2,60.0058,16.277586,5065.8,580.4
uniform-80-n50,50,uniform,559.3202,619.3281999999999,60.0080,110.7287%,6899.4,2377.8,60.004740000000005,20.661089999999998,4521.6,1294.6
uniform-75-n50,50,uniform,632.8203,700.5324,67.7121,110.7001%,6918.8,2611.0,60.00598,22.68,4307.8,1204.6
uniform-77-n50,50,uniform,627.2864,667.1684,39.8820,106.3579%,6936.4,2309.8,60.005539999999996,20.026556,4626.6,752.2
uniform-72-n50,50,uniform,616.9627,702.9688,86.0061,113.9402%,6927.2,1488.2,60.00509999999999,12.955352,5439.0,565.2
uniform-98-n100,100,uniform,778.4010,1128.9560000000001,350.5550,145.0353%,4870.4,4588.0,60.00408,56.51877999999999,282.4,428.2
uniform-97-n100,100,uniform,798.4996,1146.0919999999999,347.5924,143.5307%,4884.2,4694.6,60.00498,57.63485999999999,189.6,463.8
uniform-100-n100,100,uniform,793.6156,1164.8920000000003,371.2764,146.7829%,4870.8,4753.4,60.0065,58.564080000000004,117.4,688.2
uniform-92-n100,100,uniform,748.4112,1142.78,394.3688,152.6941%,4871.6,4687.6,60.00566,57.74688,184.0,392.4
uniform-94-n100,100,uniform,769.8060,1171.776,401.9700,152.2171%,4862.2,4733.6,60.00957999999999,58.43056,128.6,483.2
uniform-96-n100,100,uniform,791.8532,1113.9236,322.0704,140.6730%,4869.0,4441.8,60.0056,54.76186,427.2,670.4
uniform-95-n100,100,uniform,789.6085,1150.95,361.3415,145.7621%,4883.2,4369.6,60.0049,53.734140000000004,513.6,400.0
uniform-99-n100,100,uniform,796.6310,1162.384,365.7530,145.9125%,4865.4,4639.8,60.005579999999995,57.22688000000001,225.6,508.6
uniform-93-n100,100,uniform,766.2274,1146.266,380.0386,149.5987%,4859.6,4764.8,60.004859999999994,58.806459999999994,94.8,403.8
uniform-91-n100,100,uniform,805.1977,1181.664,376.4663,146.7545%,4861.6,4768.8,60.00617999999999,58.842079999999996,92.8,596.8
singlecenter-75-n50,50,singlecenter,1015.5078,1095.9959999999999,80.4882,107.9259%,6915.0,3083.0,60.00338000000001,26.799979999999998,3832.0,715.0
singlecenter-74-n50,50,singlecenter,907.3788,1003.9956,96.6168,110.6479%,6896.2,2715.6,60.00486000000001,23.62016,4180.6,653.2
singlecenter-79-n50,50,singlecenter,783.7864,866.9576,83.1712,110.6115%,6898.2,3578.8,60.003960000000006,31.19658,3319.4,1444.6
singlecenter-72-n50,50,singlecenter,808.8108,908.2154,99.4046,112.2902%,6907.2,1802.0,60.004859999999994,15.666082,5105.2,433.2
singlecenter-73-n50,50,singlecenter,613.0666,678.6982,65.6316,110.7055%,6933.4,2527.0,60.00637999999999,21.902696,4406.4,904.0
singlecenter-76-n50,50,singlecenter,887.7689,1014.8700000000001,127.1011,114.3169%,6894.6,3653.0,60.00292,31.78526,3241.6,1824.0
singlecenter-78-n50,50,singlecenter,914.1449,1000.8030000000001,86.6581,109.4797%,6931.6,3992.4,60.00355999999999,34.59776,2939.2,1623.2
singlecenter-71-n50,50,singlecenter,700.1293,789.3614,89.2321,112.7451%,6896.4,4260.6,60.005579999999995,37.142900000000004,2635.8,1181.4
singlecenter-80-n50,50,singlecenter,970.5504,1083.84,113.2896,111.6727%,6916.8,4050.6,60.00336,35.21266000000001,2866.2,1400.4
singlecenter-77-n50,50,singlecenter,780.2030,873.8538000000001,93.6508,112.0034%,6863.4,4968.8,60.005359999999996,43.49102,1894.6,2123.6
singlecenter-94-n100,100,singlecenter,1534.6651,2000.1380000000001,465.4729,130.3306%,4867.0,4756.8,60.00732000000001,58.65484,110.2,389.2
singlecenter-95-n100,100,singlecenter,1241.4234,1681.484,440.0606,135.4481%,4867.8,4671.0,60.00563999999999,57.58014000000001,196.8,386.4
singlecenter-100-n100,100,singlecenter,1213.5192,1688.548,475.0288,139.1447%,4871.6,4838.0,60.001940000000005,59.59277999999999,33.6,267.2
